file,block_index,offset,hex,entropy,printable_ascii_percent
InternshipVIII_T001.bin,0,0,2b170f787e71ff08f9b8e43444ab9f58,4.0,43.75
InternshipVIII_T001.bin,1,16,283dd1c0a97a9e8bac3710756c3699af,4.0,43.75
InternshipVIII_T001.bin,2,32,661ace1b2ac3a50e72fe4920827011c3,3.875,37.5
InternshipVIII_T002.bin,0,0,a3ced2e635eecaa5885b668d91612823,4.0,37.5
InternshipVIII_T002.bin,1,16,0939f1119dcd8b69513e79f1714922ce,3.875,56.25
InternshipVIII_T002.bin,2,32,a619da0de020d184cde497483b980fce,4.0,25.0
InternshipVIII_T003.bin,0,0,327e931bfdefefc6fd87e5147d11aea5,3.75,18.75
InternshipVIII_T003.bin,1,16,0f28214b433ea9a3526f1482b259bfcc,4.0,50.0
InternshipVIII_T003.bin,2,32,3027482508e42dccb946321a55ea6508,3.875,56.25
InternshipVIII_T003.bin,3,48,6d5d8fc44f272f9349ea3c8385ad7332,4.0,56.25
InternshipVIII_T003.bin,4,64,337a4b0136d7277f14f976f60cbd1b98,4.0,37.5
InternshipVIII_T003.bin,5,80,cb9e29302ece71d97a73cabcbb81061d,4.0,37.5
InternshipVIII_T004.bin,0,0,8b9e6c63f686bbda57d10f03540eae63,3.875,31.25
InternshipVIII_T004.bin,1,16,cf9f662fe84300181fe13875a37dc9b8,4.0,37.5
InternshipVIII_T004.bin,2,32,c4a5ef4c8431458d6b32706c043d3a31,3.875,62.5
InternshipVIII_T004.bin,3,48,ac4b115196b61f5441a39ea622a4aa6a,4.0,37.5
InternshipVIII_T004.bin,4,64,cffc63740b36f632ad0aa76a31a6443f,4.0,56.25
InternshipVIII_T004.bin,5,80,acfa4a29b16f3bbb871a585af383e609,4.0,43.75
InternshipVIII_T004.bin,6,96,3648c3b0cd461fa83061e4e358153dc9,4.0,43.75
InternshipVIII_T004.bin,7,112,ed62ee662bb9cce290f5a1abd5dc8eae,4.0,18.75
InternshipVIII_T004.bin,8,128,bb33967d63253cd1adb5974c105a8f4f,4.0,50.0
InternshipVIII_T004.bin,9,144,5a31b514c078ee397c82d69671d57166,3.875,50.0
InternshipVIII_T004.bin,10,160,f80e03858f26f4fcd29470b01c2dee8c,4.0,18.75
InternshipVIII_T004.bin,11,176,dd0382ecf06f0e6ab29665af1c35cb6c,4.0,31.25
InternshipVIII_T004.bin,12,192,c7a74f2994d7458ed3b74dd15f90b43f,4.0,37.5
InternshipVIII_T004.bin,13,208,d54a38c6ba06dfeecf8ac8287c98c1d4,4.0,25.0
InternshipVIII_T004.bin,14,224,8f08af0abf6c4e2784f6525034561e7f,4.0,50.0
InternshipVIII_T004.bin,15,240,3d7af24513d910381f0111781efab6f8,4.0,31.25
InternshipVIII_T004.bin,16,256,18f7a4c85bfd6dfd6692341fe94bf129,3.875,37.5
InternshipVIII_T004.bin,17,272,666ebb18fd469c01f86302cea9dc5c6a,4.0,37.5
InternshipVIII_T004.bin,18,288,3b8ec2688ae1d07a6109ebf71691b953,4.0,37.5
InternshipVIII_T004.bin,19,304,c52aa9e0dac9c068ba9d438f56974ccc,4.0,31.25
InternshipVIII_T004.bin,20,320,876ff5966d72bf8a07c6bb3d225f148e,4.0,37.5
InternshipVIII_T004.bin,21,336,0d6ef843fe07ec3de6590961b2cacded,4.0,43.75
InternshipVIII_T004.bin,22,352,2cc07c9030b55ff55545f1211bf3648f,4.0,50.0
InternshipVIII_T004.bin,23,368,57dc24410b93af182b838ff97d25ad0b,3.875,37.5
InternshipVIII_T004.bin,24,384,eec5fa22e113fcf2d41bf1a0cc4a9aa0,3.875,12.5
InternshipVIII_T004.bin,25,400,a40f7460aaf04e3117d9e0ae8462d094,4.0,31.25
InternshipVIII_T004.bin,26,416,6512c7a1dc4ce21fd6a7bef0c3ab4710,4.0,18.75
InternshipVIII_T004.bin,27,432,7e1f815878f192a59092740ea8fa8b38,3.875,31.25
InternshipVIII_T004.bin,28,448,7192be02b7c654831951e17fbe4d312a,3.875,37.5
InternshipVIII_T004.bin,29,464,6f799029c96b5438decb2202b4c66e59,4.0,56.25
InternshipVIII_T004.bin,30,480,a3ccc5f3a3414d97dc7f876dd002ee95,3.875,18.75
InternshipVIII_T004.bin,31,496,d3ce322059e8878745c5a7ad9aa6b5d3,3.75,25.0
InternshipVIII_T004.bin,32,512,5f733c41d94559506fb5e0e344b4ce95,4.0,56.25
InternshipVIII_T004.bin,33,528,e1a1a95ac082247551dab730ec7e4927,4.0,50.0
InternshipVIII_T004.bin,34,544,5873b8c2a56d0834bf383fee46f29b11,4.0,43.75
